Row: 4, Col: 6, Direction: 0, Word: BOA, Score: 3
Row: 7, Col: 3, Direction: 2, Word: BOA, Score: 3
Row: 3, Col: 7, Direction: 0, Word: BOA, Score: 3
Row: 6, Col: 4, Direction: 2, Word: BOA, Score: 3
Row: 3, Col: 7, Direction: 0, Word: BOAT, Score: 4
Row: 7, Col: 3, Direction: 2, Word: BOAT, Score: 4
Row: 4, Col: 7, Direction: 0, Word: BOTA, Score: 4
Row: 8, Col: 4, Direction: 2, Word: BOA, Score: 3
Row: 3, Col: 8, Direction: 0, Word: BOA, Score: 3
Row: 6, Col: 5, Direction: 2, Word: BOA, Score: 3
Row: 8, Col: 5, Direction: 2, Word: BOA, Score: 3
Row: 3, Col: 9, Direction: 0, Word: BOA, Score: 3
Row: 6, Col: 6, Direction: 2, Word: BOA, Score: 3
Row: 3, Col: 9, Direction: 0, Word: BOAR, Score: 4
Row: 7, Col: 3, Direction: 2, Word: BOATER, Score: 6
Row: 4, Col: 9, Direction: 0, Word: BORA, Score: 4
Row: 8, Col: 6, Direction: 2, Word: BOA, Score: 3
Row: 4, Col: 10, Direction: 0, Word: BOA, Score: 3
Row: 4, Col: 7, Direction: 0, Word: LOTA, Score: 4
Row: 2, Col: 7, Direction: 0, Word: BLOAT, Score: 5
Row: 7, Col: 2, Direction: 2, Word: BLOAT, Score: 5
Row: 7, Col: 2, Direction: 2, Word: BLOATER, Score: 7
Row: 7, Col: 7, Direction: 0, Word: TAOS, Score: 4
Row: 7, Col: 7, Direction: 1, Word: TAOS, Score: 4
Row: 7, Col: 7, Direction: 2, Word: TAOS, Score: 4
Row: 3, Col: 9, Direction: 0, Word: SOAR, Score: 4
Row: 4, Col: 9, Direction: 0, Word: SORA, Score: 4
Row: 7, Col: 6, Direction: 0, Word: AS, Score: 2
Row: 7, Col: 6, Direction: 1, Word: AS, Score: 2
Row: 7, Col: 6, Direction: 2, Word: AS, Score: 2
Row: 6, Col: 7, Direction: 0, Word: AS, Score: 2
Row: 6, Col: 7, Direction: 1, Word: ATS, Score: 3
Row: 6, Col: 7, Direction: 2, Word: AS, Score: 2
Row: 6, Col: 7, Direction: 3, Word: AS, Score: 2
Row: 4, Col: 7, Direction: 0, Word: SAT, Score: 3
Row: 7, Col: 7, Direction: 1, Word: TAS, Score: 3
Row: 7, Col: 4, Direction: 2, Word: SAT, Score: 3
Row: 7, Col: 7, Direction: 3, Word: TERAS, Score: 5
Row: 8, Col: 7, Direction: 0, Word: ATS, Score: 3
Row: 8, Col: 7, Direction: 1, Word: AS, Score: 2
Row: 8, Col: 7, Direction: 2, Word: AS, Score: 2
Row: 8, Col: 7, Direction: 3, Word: AS, Score: 2
Row: 6, Col: 8, Direction: 0, Word: AS, Score: 2
Row: 6, Col: 8, Direction: 2, Word: AS, Score: 2
Row: 6, Col: 8, Direction: 3, Word: AS, Score: 2
Row: 4, Col: 8, Direction: 0, Word: SAE, Score: 3
Row: 7, Col: 8, Direction: 1, Word: EAS, Score: 3
Row: 7, Col: 4, Direction: 2, Word: SATE, Score: 4
Row: 7, Col: 8, Direction: 3, Word: ERAS, Score: 4
Row: 5, Col: 8, Direction: 0, Word: SEA, Score: 3
Row: 8, Col: 8, Direction: 1, Word: AS, Score: 2
Row: 8, Col: 8, Direction: 2, Word: AS, Score: 2
Row: 8, Col: 8, Direction: 3, Word: AS, Score: 2
Row: 6, Col: 9, Direction: 0, Word: AS, Score: 2
Row: 6, Col: 9, Direction: 1, Word: ARS, Score: 3
Row: 6, Col: 9, Direction: 2, Word: AS, Score: 2
Row: 6, Col: 9, Direction: 3, Word: AS, Score: 2
Row: 4, Col: 9, Direction: 0, Word: SAR, Score: 3
Row: 7, Col: 9, Direction: 1, Word: RAS, Score: 3
Row: 7, Col: 9, Direction: 3, Word: RAS, Score: 3
Row: 8, Col: 9, Direction: 0, Word: ARS, Score: 3
Row: 8, Col: 9, Direction: 1, Word: AS, Score: 2
Row: 8, Col: 9, Direction: 2, Word: AS, Score: 2
Row: 8, Col: 9, Direction: 3, Word: AS, Score: 2
